"StockID","TermYear","peel","full.data.mult","missing.data.mult","filled.data.mult"
"Stock7",2011,8,0.973921309782017,0.965175635798691,0.98228952299461
"Stock7",2010,9,1.13522483907868,1.15823926618105,1.10135981270903
"Stock8",2019,0,1.16957154562352,1.12560263037287,1.26550463099819
"Stock8",2018,1,1.15132325926598,0.844498010938084,1.01648046274225
"Stock8",2017,2,0.953133821823514,0.750882795198286,0.858910823811326
"Stock8",2016,3,0.800459358852758,0.738369575956448,0.867161691212471
"Stock8",2015,4,0.79620588087333,0.736247528031246,0.765948565672292
"Stock8",2014,5,0.737310177284755,0.750641779275157,0.772859475012522
"Stock8",2013,6,0.810337113780749,0.760403740125802,0.817016818373298
"Stock8",2012,7,1.02537612974512,1.05710325364374,1.10114568680383
"Stock8",2011,8,1.26939347250589,1.32336988817874,1.22231044651655
"Stock8",2010,9,1.16562411389156,1.12971460306069,1.08000105688301
